2023-04-02 09:15:17,2023-04-02 18:47:38,3,10,5
2023-04-04 08:36:47,2023-04-04 16:33:51,13,23,5
2023-04-10 09:53:04,2023-04-10 16:30:27,17,44,7
2023-04-11 09:39:47,2023-04-11 15:27:07,18,45,10
2023-04-13 11:03:14,2023-04-13 16:13:34,17,42,8
2023-04-14 08:21:56,2023-04-14 16:28:42,9,19,5
2023-04-16 10:34:36,2023-04-16 19:59:09,11,17,4
2023-04-18 08:29:07,2023-04-18 13:37:41,9,18,8
2023-04-19 09:48:42,2023-04-19 16:05:21,12,20,9
2023-04-25 09:21:04,2023-04-25 13:49:57,15,22,9
2023-05-02 08:39:35,2023-05-02 16:49:12,17,45,10
2023-05-06 09:32:28,2023-05-06 14:51:49,3,9,10
2023-05-12 09:39:29,2023-05-12 16:25:25,14,22,10
2023-05-14 10:15:57,2023-05-14 16:23:18,20,44,5
2023-05-17 10:30:57,2023-05-17 15:24:39,7,13,8
2023-05-21 09:09:21,2023-05-21 15:56:52,9,19,8
2023-05-25 10:17:33,2023-05-25 17:06:52,9,20,7
2023-05-26 11:26:11,2023-05-26 14:40:16,2,11,5
2023-05-31 09:08:35,2023-05-31 15:33:13,7,14,6
2023-06-03 11:35:59,2023-06-03 18:31:26,12,17,8
2023-06-04 09:07:55,2023-06-04 15:04:15,10,20,5
2023-06-06 11:28:32,2023-06-06 19:16:09,10,19,7
2023-06-07 10:56:40,2023-06-07 16:13:05,9,19,10
2023-06-08 10:33:53,2023-06-08 18:39:17,2,10,7
2023-06-10 11:18:03,2023-06-10 17:22:05,17,25,4
2023-06-17 10:54:54,2023-06-17 17:24:48,11,17,10
2023-06-22 09:58:34,2023-06-22 17:23:13,15,23,6
2023-06-23 10:20:34,2023-06-23 16:35:09,11,18,8
2023-06-26 08:43:11,2023-06-26 16:28:44,4,12,7
2023-06-27 08:12:55,2023-06-27 17:11:14,13,21,7
2023-06-29 11:29:28,2023-06-29 13:59:54,2,9,9
2023-06-30 10:58:02,2023-06-30 13:49:03,16,24,8
